N,P,K,temperature,humidity,ph,rainfall,label
36.53,22.26,12.45,32.06,94.58,7.09,101.95,orange
62.6,38.62,43.67,22.6,88.99,6.27,255.32,rice
27.41,58.03,24.54,20.19,65.18,6.46,37.68,lentil
30.44,138.13,200.66,25.86,89.91,6.16,60.83,grapes
38.77,72.69,20.91,17.9,19.74,6.12,133.96,kidneybeans
103.31,82.09,51.64,28.04,75.08,6.13,127.69,banana
93.4,48.22,24.81,19.19,57.24,6.72,75.16,maize
98.64,90.6,46.01,25.45,83.82,6.58,120.79,banana
95.81,22.39,49.28,29.14,91.37,6.67,21.01,muskmelon
29.18,141.83,203.14,18.13,81.35,5.84,72.21,grapes
34.14,30.66,26.02,31.39,53.28,4.76,62.21,mango
88.16,42.29,44.88,25.26,75.37,6.4,185.76,jute
17.5,22.41,33.27,32.8,50.73,6.85,54.14,mango
32.39,26.21,29.02,36.67,46.13,6.56,86.69,mango
119.87,83.91,47.63,29.15,79.55,6.26,119.57,banana
85.34,55.68,40.69,23.39,80.08,6.34,186.48,jute
56.57,65.13,53.53,40.05,92.87,6.78,61.03,papaya
37.87,27.63,31.24,34.74,54.66,5.52,69.58,mango
30.91,69.82,16.83,35.64,56.26,6.86,96.59,pigeonpeas
19.04,128.28,200.8,40.38,88.45,5.6,71.36,grapes
18.53,62.93,23.03,26.9,61.59,6.11,50.78,lentil
25.13,68.27,17.47,20.91,19.44,6.16,66.03,kidneybeans
103.57,93.62,50.84,25.88,82.41,5.58,104.4,banana
100.28,39.29,25.55,25.74,63.42,7.43,189.9,coffee
108.44,11.36,54.52,27.83,94.72,6.78,20.79,muskmelon
71.39,51.4,35.36,24.42,70.28,6.58,186.55,jute
24.43,70.56,19.37,20.46,19.81,5.67,102.65,kidneybeans
108.06,23.17,51.27,29.69,93.92,6.41,27.25,muskmelon
30.9,64.04,18.18,33.31,33.37,6.8,165.04,pigeonpeas
68.8,57.01,46.56,35.27,87.24,6.5,180.68,papaya
35.56,74.33,19.81,23.28,22.95,5.81,125.05,kidneybeans
21.84,13.62,32.2,25.13,97.03,6.63,181.26,coconut
37.56,16.77,29.41,32.63,49.65,4.75,30.99,mango
22.6,11.41,13.49,12.95,90.75,6.85,101.64,orange
15.89,20.87,25.49,26.06,99.67,5.61,224.05,coconut
63.54,52.27,42.7,22.05,87.74,5.93,207.51,rice
39.79,12.96,14.77,13.14,93.61,6.68,112.85,orange
37.37,18.95,43.77,18.4,91.86,5.81,118.15,pomegranate
17.0,44.83,23.12,29.68,46.31,4.53,51.1,mothbeans
31.96,27.53,11.11,19.05,91.74,6.95,104.19,orange
26.28,143.15,197.78,21.71,90.02,6.42,101.26,apple
20.98,60.01,20.86,26.55,66.42,7.12,35.45,lentil
24.45,11.28,14.71,31.47,90.87,6.04,102.14,orange
23.97,45.35,17.08,28.04,42.7,7.63,46.08,mothbeans
93.12,53.36,37.15,25.36,77.83,6.1,170.5,jute
23.58,58.17,16.06,29.18,72.17,7.0,69.19,blackgram
27.21,14.54,29.58,26.34,97.61,6.15,141.32,coconut
17.56,139.33,202.86,18.02,85.48,5.93,68.62,grapes
110.93,38.59,34.41,27.41,64.63,6.4,178.57,coffee
104.58,36.06,26.48,23.56,65.72,7.02,172.5,coffee
115.66,57.69,15.97,24.07,75.93,5.96,70.21,cotton
22.03,65.34,16.62,24.85,20.43,5.61,132.32,kidneybeans
27.6,17.5,34.2,27.33,94.07,6.86,181.34,coconut
70.35,37.26,40.78,22.24,87.57,5.68,184.02,rice
92.62,50.83,44.63,20.71,83.41,6.29,253.37,rice
25.11,71.21,15.52,34.2,60.97,6.89,70.67,blackgram
87.95,52.42,44.62,25.49,73.4,6.81,179.06,jute
32.68,58.6,21.08,18.62,68.63,4.97,117.99,pigeonpeas
23.23,76.4,16.08,26.57,60.42,6.71,69.7,blackgram
89.75,57.23,36.7,24.25,88.36,7.05,156.21,jute
23.21,122.77,195.85,23.02,94.79,6.01,108.21,apple
25.73,42.07,20.8,33.44,79.17,6.38,44.09,mungbean
27.97,133.06,202.94,33.45,89.37,6.21,72.83,grapes
28.98,44.65,18.85,26.56,62.31,7.02,44.06,mungbean
65.95,42.22,24.45,22.4,74.52,7.24,101.13,maize
102.45,21.32,52.24,25.3,87.04,6.67,48.58,watermelon
139.2,46.8,16.44,23.8,77.22,5.83,96.83,cotton
109.62,89.68,46.76,26.37,84.23,6.96,121.92,banana
16.13,59.17,19.0,24.18,61.36,6.56,36.5,lentil
90.89,37.33,39.39,21.0,82.8,5.76,198.4,rice
19.69,77.77,19.49,20.54,60.95,7.29,39.78,lentil
22.69,46.06,19.03,31.48,42.5,5.32,43.67,mothbeans
32.93,70.98,16.87,30.91,74.86,6.76,72.79,blackgram
110.71,48.99,21.29,23.45,72.4,6.67,83.34,cotton
22.36,140.59,198.88,22.61,90.9,6.04,113.72,apple
30.27,20.81,33.91,34.82,51.34,6.73,32.25,mango
34.91,58.84,16.41,24.52,51.26,6.22,166.16,pigeonpeas
